gene_name,gene_id_entrez,gene_id_ensembl,mim_number,mim_entry_type
BAIAP3,8938,ENSG00000007516,604009,gene
BAK1,578,ENSG00000030110,600516,gene
BAMBI,25805,ENSG00000095739,604444,gene
BANF1,8815,ENSG00000175334,603811,gene
BANK1,55024,ENSG00000153064,610292,gene
BANP,54971,ENSG00000172530,611564,gene
BAP1,8314,ENSG00000163930,603089,gene
BARD1,580,ENSG00000138376,601593,gene
BARHL1,56751,ENSG00000125492,605211,gene
BARHL2,343472,ENSG00000143032,605212,gene
BARX1,56033,ENSG00000131668,603260,gene
BARX2,8538,ENSG00000043039,604823,gene
BASP1,10409,ENSG00000176788,605940,gene
BATF,10538,ENSG00000156127,612476,gene
BATF2,116071,ENSG00000168062,614983,gene
BATF3,55509,ENSG00000123685,612470,gene
BAX,581,ENSG00000087088,600040,gene
BAZ1A,11177,ENSG00000198604,605680,gene
BAZ1B,9031,ENSG00000009954,605681,gene
BAZ2A,11176,ENSG00000076108,605682,gene
BAZ2B,29994,ENSG00000123636,605683,gene
BBC3,27113,ENSG00000105327,605854,gene
BBIP1,92482,ENSG00000214413,613605,gene
BBOX1,8424,ENSG00000129151,603312,gene
BBS1,582,ENSG00000174483,209901,gene
BBS10,79738,ENSG00000179941,610148,gene
BBS12,166379,ENSG00000181004,610683,gene
BBS2,583,ENSG00000125124,606151,gene
BBS4,585,ENSG00000140463,600374,gene
BBS5,129880,ENSG00000163093,603650,gene
BBS7,55212,ENSG00000138686,607590,gene
BBS9,27241,ENSG00000122507,607968,gene
BCAM,4059,ENSG00000187244,612773,gene
BCAN,63827,ENSG00000132692,600347,gene
BCAP31,10134,ENSG00000185825,300398,gene
BCAR1,9564,ENSG00000050820,602941,gene
BCAR3,8412,ENSG00000137936,604704,gene
BCAR4,400500,ENSG00000262117,613746,gene
BCAS1,8537,ENSG00000064787,602968,gene
BCAS2,10286,ENSG00000116752,605783,gene
BCAS3,54828,ENSG00000141376,607470,gene
BCAS4,55653,ENSG00000124243,607471,gene
BCAT1,586,ENSG00000060982,113520,gene
BCAT2,587,ENSG00000105552,113530,gene
BCCIP,56647,ENSG00000107949,611883,gene
BCHE,590,ENSG00000114200,177400,gene
BCKDHA,593,ENSG00000248098,608348,gene
BCKDHB,594,ENSG00000083123,248611,gene
BCKDK,10295,ENSG00000103507,614901,gene
BCL10,8915,ENSG00000142867,603517,gene
BCL11A,53335,ENSG00000119866,606557,gene
BCL11B,64919,ENSG00000127152,606558,gene
BCL2,596,ENSG00000171791,151430,gene/phenotype
BCL2A1,597,ENSG00000140379,601056,gene
BCL2L1,598,ENSG00000171552,600039,gene
BCL2L10,10017,ENSG00000137875,606910,gene
BCL2L11,10018,ENSG00000153094,603827,gene
BCL2L12,83596,ENSG00000126453,610837,gene
BCL2L14,79370,ENSG00000121380,606126,gene
BCL2L2,599,ENSG00000129473,601931,gene
BCL3,602,ENSG00000069399,109560,gene
BCL6,604,ENSG00000113916,109565,gene
BCL6B,255877,ENSG00000161940,608992,gene
BCL7A,605,ENSG00000110987,601406,gene
BCL7B,9275,ENSG00000106635,605846,gene
BCL7C,9274,ENSG00000099385,605847,gene
BCL9,607,ENSG00000116128,602597,gene
BCL9L,283149,ENSG00000186174,609004,gene
BCLAF1,9774,ENSG00000029363,612588,gene
BCO1,53630,ENSG00000135697,605748,gene
BCO2,83875,ENSG00000197580,611740,gene
BCOR,54880,ENSG00000183337,300485,gene
BCORL1,63035,ENSG00000085185,300688,gene
BCR,613,ENSG00000186716,151410,gene
BCS1L,617,ENSG00000074582,603647,gene
BCYRN1,618,ENSG00000236824,606089,gene
BDH1,622,ENSG00000161267,603063,gene
BDKRB1,623,ENSG00000100739,600337,gene
BDKRB2,624,ENSG00000168398,113503,gene
BDNF,627,ENSG00000176697,113505,gene
BDNF-AS,497258,ENSG00000245573,611468,gene
BDP1,55814,ENSG00000145734,607012,gene
BEAN1,146227,ENSG00000166546,612051,gene
BECN1,8678,ENSG00000126581,604378,gene
BECN2,441925,ENSG00000196289,615687,gene
BEGAIN,57596,ENSG00000183092,618597,gene
BEND3,57673,ENSG00000178409,616374,gene
BEST1,7439,ENSG00000167995,607854,gene
BEST2,54831,ENSG00000039987,607335,gene
BEST3,144453,ENSG00000127325,607337,gene
BEST4,266675,ENSG00000142959,607336,gene
BET1,10282,ENSG00000105829,605456,gene
BET1L,51272,ENSG00000177951,615417,gene
BEX1,55859,ENSG00000133169,300690,gene
BEX2,84707,ENSG00000133134,300691,gene
BEX3,27018,ENSG00000166681,300361,gene
BEX4,56271,ENSG00000102409,300692,gene
BEX5,340542,ENSG00000184515,300693,gene
BFSP1,631,ENSG00000125864,603307,gene
BFSP2,8419,ENSG00000170819,603212,gene
BGLAP,632,ENSG00000242252,112260,gene
BGLT3,103344929,ENSG00000260629,616308,gene
BGN,633,ENSG00000182492,301870,gene
BHLHA15,168620,ENSG00000180535,608606,gene
BHLHA9,727857,ENSG00000205899,615416,gene
BHLHB9,80823,ENSG00000198908,300921,gene
BHLHE22,27319,ENSG00000180828,613483,gene
BHLHE23,128408,ENSG00000125533,609331,gene
BHLHE40,8553,ENSG00000134107,604256,gene
BHLHE41,79365,ENSG00000123095,606200,gene
BHMT,635,ENSG00000145692,602888,gene
BHMT2,23743,ENSG00000132840,605932,gene
BICC1,80114,ENSG00000122870,614295,gene
BICD1,636,ENSG00000151746,602204,gene
BICD2,23299,ENSG00000185963,609797,gene
BICDL1,92558,ENSG00000135127,617002,gene
BICDL2,146439,ENSG00000162069,617003,gene
BICRA,29998,ENSG00000063169,605690,gene
BICRAL,23506,ENSG00000112624,618502,gene
BID,637,ENSG00000015475,601997,gene
BIK,638,ENSG00000100290,603392,gene
BIN1,274,ENSG00000136717,601248,gene
BIN2,51411,ENSG00000110934,605936,gene
BIN3,55909,ENSG00000147439,606396,gene
BIRC2,329,ENSG00000110330,601712,gene
BIRC3,330,ENSG00000023445,601721,gene
BIRC5,332,ENSG00000089685,603352,gene
BIRC6,57448,ENSG00000115760,605638,gene
BIRC7,79444,ENSG00000101197,605737,gene
BLACAT1,101669762,NA,615480,gene
BLACE,338436,ENSG00000204960,608450,gene
BLCAP,10904,ENSG00000166619,613110,gene
BLID,414899,ENSG00000259571,608853,gene
BLK,640,ENSG00000136573,191305,gene
BLM,641,ENSG00000197299,604610,gene
BLMH,642,ENSG00000108578,602403,gene
BLNK,29760,ENSG00000095585,604515,gene
BLOC1S1,2647,ENSG00000135441,601444,gene
BLOC1S2,282991,ENSG00000196072,609768,gene
BLOC1S3,388552,ENSG00000189114,609762,gene
BLOC1S4,55330,ENSG00000186222,605695,gene
BLOC1S5,63915,ENSG00000188428,607289,gene
BLOC1S6,26258,ENSG00000104164,604310,gene
BLVRA,644,ENSG00000106605,109750,gene
BLVRB,645,ENSG00000090013,600941,gene
BLZF1,8548,ENSG00000117475,608692,gene
BMF,90427,ENSG00000104081,606266,gene
BMI1,648,ENSG00000168283,164831,gene
BMP1,649,ENSG00000168487,112264,gene
BMP10,27302,ENSG00000163217,608748,gene
BMP15,9210,ENSG00000130385,300247,gene
BMP2,650,ENSG00000125845,112261,gene
BMP2K,55589,ENSG00000138756,617648,gene
BMP3,651,ENSG00000152785,112263,gene
BMP4,652,ENSG00000125378,112262,gene
BMP5,653,ENSG00000112175,112265,gene
BMP6,654,ENSG00000153162,112266,gene
BMP7,655,ENSG00000101144,112267,gene
BMP8B,656,ENSG00000116985,602284,gene
BMPER,168667,ENSG00000164619,608699,gene
BMPR1A,657,ENSG00000107779,601299,gene
BMPR1B,658,ENSG00000138696,603248,gene
BMPR2,659,ENSG00000204217,600799,gene
BMS1,9790,ENSG00000165733,611448,gene
BMT2,154743,ENSG00000164603,617855,gene
BMX,660,ENSG00000102010,300101,gene
BNC1,646,ENSG00000169594,601930,gene
BNC2,54796,ENSG00000173068,608669,gene
BNIP1,662,ENSG00000113734,603291,gene
BNIP2,663,ENSG00000140299,603292,gene
BNIP3,664,ENSG00000176171,603293,gene
BNIP3L,665,ENSG00000104765,605368,gene
BNIPL,149428,ENSG00000163141,611275,gene
BOC,91653,ENSG00000144857,608708,gene
BOD1,91272,ENSG00000145919,616745,gene
BOD1L1,259282,ENSG00000038219,616746,gene
BOK,666,ENSG00000176720,605404,gene
BOLA1,51027,ENSG00000178096,613181,gene
BOLA2,552900,ENSG00000183336,613182,gene
BOLA3,388962,ENSG00000163170,613183,gene
BOLL,66037,ENSG00000152430,606165,gene
BOP1,23246,ENSG00000261236,610596,gene
BORA,79866,ENSG00000136122,610510,gene
BORCS5,118426,ENSG00000165714,616598,gene
BORCS6,54785,ENSG00000196544,616599,gene
BORCS7,119032,ENSG00000166275,616600,gene
BORCS8,729991,ENSG00000254901,616601,gene
BPGM,669,ENSG00000172331,613896,gene
BPHL,670,ENSG00000137274,603156,gene
BPI,671,ENSG00000101425,109195,gene
BPIFA1,51297,ENSG00000198183,607412,gene
BPIFA4P,317716,ENSG00000183566,607627,gene
BPIFB2,80341,ENSG00000078898,614108,gene
BPIFB3,359710,ENSG00000186190,615717,gene
BPIFB4,149954,ENSG00000186191,615718,gene
BPIFB6,128859,ENSG00000167104,614110,gene
BPIFC,254240,ENSG00000184459,614109,gene
BPNT1,10380,ENSG00000162813,604053,gene
BPTF,2186,ENSG00000171634,601819,gene
BPY2,9083,ENSG00000183753,400013,gene
BRAF,673,ENSG00000157764,164757,gene
BRAFP1,286494,NA,300956,gene
BRAP,8315,ENSG00000089234,604986,gene
BRAT1,221927,ENSG00000106009,614506,gene
BRCA1,672,ENSG00000012048,113705,gene
BRCA2,675,ENSG00000139618,600185,gene
BRCC3,79184,ENSG00000185515,300617,gene
BRD1,23774,ENSG00000100425,604589,gene
BRD2,6046,ENSG00000204256,601540,gene
BRD3,8019,ENSG00000169925,601541,gene
BRD4,23476,ENSG00000141867,608749,gene
BRD7,29117,ENSG00000166164,618489,gene
BRD8,10902,ENSG00000112983,602848,gene
BRD9,65980,ENSG00000028310,618465,gene
BRDT,676,ENSG00000137948,602144,gene
BRF1,2972,ENSG00000185024,604902,gene
BRF2,55290,ENSG00000104221,607013,gene
BRI3,25798,ENSG00000164713,615628,gene
BRI3BP,140707,ENSG00000184992,615627,gene
BRINP1,1620,ENSG00000078725,602865,gene
BRINP3,339479,ENSG00000162670,618390,gene
BRIP1,83990,ENSG00000136492,605882,gene
BRIX1,55299,ENSG00000113460,618466,gene
BRK1,55845,ENSG00000254999,611183,gene
BRMS1,25855,ENSG00000174744,606259,gene
BRMS1L,84312,ENSG00000100916,618514,gene
BRPF1,7862,ENSG00000156983,602410,gene
BRPF3,27154,ENSG00000096070,616856,gene
BRS3,680,ENSG00000102239,300107,gene
BRSK1,84446,ENSG00000160469,609235,gene
BRSK2,9024,ENSG00000174672,609236,gene
BRWD1,54014,ENSG00000185658,617824,gene
BRWD3,254065,ENSG00000165288,300553,gene
BSCL2,26580,ENSG00000168000,606158,gene
BSDC1,55108,ENSG00000160058,617518,gene
BSG,682,ENSG00000172270,109480,gene
BSN,8927,ENSG00000164061,604020,gene
BSND,7809,ENSG00000162399,606412,gene
BSPH1,100131137,ENSG00000188334,612213,gene
BST1,683,ENSG00000109743,600387,gene
BST2,684,ENSG00000130303,600534,gene
BSX,390259,ENSG00000188909,611074,gene
BTAF1,9044,ENSG00000095564,605191,gene
BTBD1,53339,ENSG00000064726,608530,gene
BTBD10,84280,ENSG00000148925,615933,gene
BTBD2,55643,ENSG00000133243,608531,gene
BTBD3,22903,ENSG00000132640,615566,gene
BTBD7,55727,ENSG00000011114,610386,gene
BTBD9,114781,ENSG00000183826,611237,gene
BTC,685,ENSG00000174808,600345,gene
BTD,686,ENSG00000169814,609019,gene
BTF3,689,ENSG00000145741,602542,gene
BTF3P11,690,NA,602543,gene
BTF3P12,652963,NA,603738,gene
BTF3P13,132556,NA,603739,gene
BTG1,694,ENSG00000133639,109580,gene
BTG2,7832,ENSG00000159388,601597,gene
BTG3,10950,ENSG00000154640,605674,gene
BTG4,54766,ENSG00000137707,605673,gene
BTK,695,ENSG00000010671,300300,gene
BTLA,151888,ENSG00000186265,607925,gene
BTN1A1,696,ENSG00000124557,601610,gene
BTN2A1,11120,ENSG00000112763,613590,gene
BTN2A2,10385,ENSG00000124508,613591,gene
BTN2A3P,54718,ENSG00000124549,613592,gene
BTN3A1,11119,ENSG00000026950,613593,gene
BTN3A2,11118,ENSG00000186470,613594,gene
BTN3A3,10384,ENSG00000111801,613595,gene
BTNL2,56244,ENSG00000204290,606000,gene
BTNL3,10917,ENSG00000168903,606192,gene
BTNL8,79908,ENSG00000113303,615606,gene
BTRC,8945,ENSG00000166167,603482,gene
BUB1,699,ENSG00000169679,602452,gene
BUB1B,701,ENSG00000156970,602860,gene
BUB3,9184,ENSG00000154473,603719,gene
BUD23,114049,ENSG00000071462,615733,gene
BUD31,8896,ENSG00000106245,603477,gene
BVES,11149,ENSG00000112276,604577,gene
BYSL,705,ENSG00000112578,603871,gene
C10orf90,118611,ENSG00000154493,617735,gene
C10orf99,387695,ENSG00000188373,617775,gene
C11orf21,29125,ENSG00000110665,611033,gene
C11orf24,53838,ENSG00000171067,610880,gene
C11orf54,28970,ENSG00000182919,615810,gene
C11orf80,79703,ENSG00000173715,616109,gene
C11orf95,65998,ENSG00000188070,615699,gene
C12orf10,60314,ENSG00000139637,611366,gene
C12orf4,57102,ENSG00000047621,616082,gene
C12orf57,113246,ENSG00000111678,615140,gene
C12orf65,91574,ENSG00000130921,613541,gene
C12orf66,144577,ENSG00000174206,617420,gene
C14orf39,317761,ENSG00000179008,617307,gene
C15orf41,84529,ENSG00000186073,615626,gene
C15orf48,84419,ENSG00000166920,608409,gene
C17orf49,124944,ENSG00000258315,617215,gene
C18orf54,162681,ENSG00000166845,613258,gene
C19orf12,83636,ENSG00000131943,614297,gene
C1D,10438,ENSG00000197223,606997,gene
C1GALT1,56913,ENSG00000106392,610555,gene
C1GALT1C1,29071,ENSG00000171155,300611,gene
C1orf109,54955,ENSG00000116922,614799,gene
C1orf116,79098,ENSG00000182795,611680,gene
C1orf43,25912,ENSG00000143612,617428,gene
C1QA,712,ENSG00000173372,120550,gene
C1QB,713,ENSG00000173369,120570,gene
C1QBP,708,ENSG00000108561,601269,gene
C1QC,714,ENSG00000159189,120575,gene
C1QL1,10882,ENSG00000131094,611586,gene
C1QL2,165257,ENSG00000144119,614330,gene
C1QL3,389941,ENSG00000165985,615227,gene
C1QL4,338761,ENSG00000186897,615229,gene
C1QTNF1,114897,ENSG00000173918,610365,gene
C1QTNF12,388581,ENSG00000184163,616593,gene
C1QTNF3,114899,ENSG00000082196,612045,gene
C1QTNF4,114900,ENSG00000172247,614911,gene
C1QTNF5,114902,ENSG00000223953,608752,gene
C1QTNF6,114904,ENSG00000133466,614910,gene
C1QTNF8,390664,ENSG00000184471,614147,gene
C1QTNF9,338872,ENSG00000240654,614285,gene
C1QTNF9B,387911,ENSG00000205863,614148,gene
C1R,715,ENSG00000159403,613785,gene
C1RL,51279,ENSG00000139178,608974,gene
C1S,716,ENSG00000182326,120580,gene
C2,717,ENSG00000166278,613927,gene
C20orf194,25943,ENSG00000088854,614146,gene
C2CD2,25966,ENSG00000157617,617581,gene
C2CD2L,9854,ENSG00000172375,617582,gene
C2CD3,26005,ENSG00000168014,615944,gene
C2CD4A,145741,ENSG00000198535,610343,gene
C2CD4B,388125,ENSG00000205502,610344,gene
C2CD4C,126567,ENSG00000183186,610336,gene
C2CD5,9847,ENSG00000111731,618044,gene
C2orf68,388969,ENSG00000168887,618519,gene
C2orf80,389073,ENSG00000188674,615536,gene
C2orf88,84281,ENSG00000187699,615117,gene
C3,718,ENSG00000125730,120700,gene
C3AR1,719,ENSG00000171860,605246,gene
C3orf35,339883,ENSG00000198590,611429,gene
C3orf52,79669,ENSG00000114529,611956,gene
C4A,720,ENSG00000244731,120810,gene
C4B,721,ENSG00000224389,120820,gene
C4BPA,722,ENSG00000123838,120830,gene
C4BPB,725,ENSG00000123843,120831,gene
C4orf46,201725,ENSG00000205208,616210,gene
C4orf48,401115,ENSG00000243449,614690,gene
C4orf54,285556,ENSG00000248713,617881,gene
C5,727,ENSG00000106804,120900,gene
C5AR1,728,ENSG00000197405,113995,gene
C5AR2,27202,ENSG00000134830,609949,gene
C5orf30,90355,ENSG00000181751,616608,gene
C5orf38,153571,ENSG00000186493,610522,gene
C6,729,ENSG00000039537,217050,gene
C6orf120,387263,ENSG00000185127,616987,gene
C6orf15,29113,ENSG00000204542,611401,gene
C6orf89,221477,ENSG00000198663,616642,gene
C7,730,ENSG00000112936,217070,gene
C7orf31,136895,ENSG00000153790,616071,gene
C8A,731,ENSG00000157131,120950,gene
C8B,732,ENSG00000021852,120960,gene
C8G,733,ENSG00000176919,120930,gene
C8orf17,100507249,NA,616992,gene
C8orf37,157657,ENSG00000156172,614477,gene
C9,735,ENSG00000113600,120940,gene
C9orf116,138162,ENSG00000160345,614502,gene
C9orf64,84267,ENSG00000165118,611342,gene
C9orf72,203228,ENSG00000147894,614260,gene
CA1,759,ENSG00000133742,114800,gene
CA10,56934,ENSG00000154975,604642,gene
CA11,770,ENSG00000063180,604644,gene
CA12,771,ENSG00000074410,603263,gene
CA13,377677,ENSG00000185015,611436,gene
CA14,23632,ENSG00000118298,604832,gene
CA2,760,ENSG00000104267,611492,gene
CA3,761,ENSG00000164879,114750,gene
CA4,762,ENSG00000167434,114760,gene
CA5A,763,ENSG00000174990,114761,gene
CA5B,11238,ENSG00000169239,300230,gene
CA6,765,ENSG00000131686,114780,gene
CA7,766,ENSG00000168748,114770,gene
CA8,767,ENSG00000178538,114815,gene
CA9,768,ENSG00000107159,603179,gene
CAB39,51719,ENSG00000135932,612174,gene
CAB39L,81617,ENSG00000102547,612175,gene
CABIN1,23523,ENSG00000099991,604251,gene
CABLES1,91768,ENSG00000134508,609194,gene
CABP1,9478,ENSG00000157782,605563,gene
CABP2,51475,ENSG00000167791,607314,gene
CABP4,57010,ENSG00000175544,608965,gene
CABP5,56344,ENSG00000105507,607315,gene
CABS1,85438,ENSG00000145309,618600,gene
CABYR,26256,ENSG00000154040,612135,gene
CACFD1,11094,ENSG00000160325,613104,gene
CACNA1A,773,ENSG00000141837,601011,gene
CACNA1B,774,ENSG00000148408,601012,gene
CACNA1C,775,ENSG00000151067,114205,gene
CACNA1D,776,ENSG00000157388,114206,gene
CACNA1E,777,ENSG00000198216,601013,gene
CACNA1F,778,ENSG00000102001,300110,gene
CACNA1G,8913,ENSG00000006283,604065,gene
CACNA1H,8912,ENSG00000196557,607904,gene
CACNA1I,8911,ENSG00000100346,608230,gene
CACNA1S,779,ENSG00000081248,114208,gene
CACNA2D1,781,ENSG00000153956,114204,gene
CACNA2D2,9254,ENSG00000007402,607082,gene
CACNA2D3,55799,ENSG00000157445,606399,gene
CACNA2D4,93589,ENSG00000151062,608171,gene
CACNB1,782,ENSG00000067191,114207,gene
CACNB2,783,ENSG00000165995,600003,gene
CACNB3,784,ENSG00000167535,601958,gene
CACNB4,785,ENSG00000182389,601949,gene
CACNG1,786,ENSG00000108878,114209,gene
CACNG2,10369,ENSG00000166862,602911,gene
CACNG3,10368,ENSG00000006116,606403,gene
CACNG4,27092,ENSG00000075461,606404,gene
CACNG5,27091,ENSG00000075429,606405,gene
CACNG6,59285,ENSG00000130433,606898,gene
CACNG7,59284,ENSG00000105605,606899,gene
CACNG8,59283,ENSG00000142408,606900,gene
CACTIN,58509,ENSG00000105298,618536,gene
CACYBP,27101,ENSG00000116161,606186,gene
CAD,790,ENSG00000084774,114010,gene
CADM1,23705,ENSG00000182985,605686,gene
CADM2,253559,ENSG00000175161,609938,gene
CADM3,57863,ENSG00000162706,609743,gene
CADM4,199731,ENSG00000105767,609744,gene
CADPS,8618,ENSG00000163618,604667,gene
CADPS2,93664,ENSG00000081803,609978,gene
CAGE1,285782,ENSG00000164304,608304,gene
CAHM,100526820,ENSG00000270419,615930,gene
CALB1,793,ENSG00000104327,114050,gene
CALB2,794,ENSG00000172137,114051,gene
CALCA,796,ENSG00000110680,114130,gene
CALCB,797,ENSG00000175868,114160,gene
CALCOCO2,10241,ENSG00000136436,604587,gene
CALCR,799,ENSG00000004948,114131,gene
CALCRL,10203,ENSG00000064989,114190,gene
CALD1,800,ENSG00000122786,114213,gene
CALHM1,255022,ENSG00000185933,612234,gene
CALHM2,51063,ENSG00000138172,612235,gene
CALHM3,119395,ENSG00000183128,618263,gene
CALHM6,441168,ENSG00000188820,617305,gene
CALM1,801,ENSG00000198668,114180,gene
CALM2,805,ENSG00000143933,114182,gene
CALM3,808,ENSG00000160014,114183,gene
CALML3,810,ENSG00000178363,114184,gene
CALML5,51806,ENSG00000178372,605183,gene
CALML6,163688,ENSG00000169885,610171,gene
CALN1,83698,ENSG00000183166,607176,gene
CALR,811,ENSG00000179218,109091,gene
CALR3,125972,ENSG00000269058,611414,gene
CALU,813,ENSG00000128595,603420,gene
CALY,50632,ENSG00000130643,604647,gene
CAMK1,8536,ENSG00000134072,604998,gene
CAMK1D,57118,ENSG00000183049,607957,gene
CAMK1G,57172,ENSG00000008118,614994,gene
CAMK2A,815,ENSG00000070808,114078,gene
CAMK2B,816,ENSG00000058404,607707,gene
CAMK2D,817,ENSG00000145349,607708,gene
CAMK2G,818,ENSG00000148660,602123,gene
CAMK2N1,55450,ENSG00000162545,614986,gene
CAMK2N2,94032,ENSG00000163888,608721,gene
CAMK4,814,ENSG00000152495,114080,gene
CAMKK1,84254,ENSG00000004660,611411,gene
CAMKK2,10645,ENSG00000110931,615002,gene
CAMKMT,79823,ENSG00000143919,609559,gene
CAMKV,79012,ENSG00000164076,614993,gene
CAMLG,819,ENSG00000164615,601118,gene
CAMP,820,ENSG00000164047,600474,gene
CAMSAP1,157922,ENSG00000130559,613774,gene
CAMSAP2,23271,ENSG00000118200,613775,gene
CAMSAP3,57662,ENSG00000076826,612685,gene
CAMTA1,23261,ENSG00000171735,611501,gene
CAMTA2,23125,ENSG00000108509,611508,gene
CAND1,55832,ENSG00000111530,607727,gene
CAND2,23066,ENSG00000144712,610403,gene
CANT1,124583,ENSG00000171302,613165,gene
CANX,821,ENSG00000127022,114217,gene
CAP1,10487,ENSG00000131236,617801,gene
CAP2,10486,ENSG00000112186,618385,gene
CAPG,822,ENSG00000042493,153615,gene
CAPN1,823,ENSG00000014216,114220,gene
CAPN10,11132,ENSG00000142330,605286,gene
CAPN11,11131,ENSG00000137225,604822,gene
CAPN12,147968,ENSG00000182472,608839,gene
CAPN13,92291,ENSG00000162949,610228,gene
CAPN14,440854,ENSG00000214711,610229,gene
CAPN15,6650,ENSG00000103326,603267,gene
CAPN2,824,ENSG00000162909,114230,gene
CAPN3,825,ENSG00000092529,114240,gene
CAPN5,726,ENSG00000149260,602537,gene
CAPN6,827,ENSG00000077274,300146,gene
CAPN7,23473,ENSG00000131375,606400,gene
CAPN9,10753,ENSG00000135773,606401,gene
CAPNS1,826,ENSG00000126247,114170,gene
CAPNS2,84290,ENSG00000256812,616767,gene
CAPRIN1,4076,ENSG00000135387,601178,gene
CAPRIN2,65981,ENSG00000110888,610375,gene
CAPS,828,ENSG00000105519,114212,gene
CAPS2,84698,ENSG00000180881,607724,gene
CAPZA1,829,ENSG00000116489,601580,gene
CAPZA2,830,ENSG00000198898,601571,gene
CAPZA3,93661,ENSG00000177938,608722,gene
CAPZB,832,ENSG00000077549,601572,gene
CARD10,29775,ENSG00000100065,607209,gene
CARD11,84433,ENSG00000198286,607210,gene
CARD14,79092,ENSG00000141527,607211,gene
CARD16,114769,ENSG00000204397,615680,gene
CARD17,440068,ENSG00000255221,609490,gene
CARD18,59082,ENSG00000255501,605354,gene
CARD19,84270,ENSG00000165233,617726,gene
CARD6,84674,ENSG00000132357,609986,gene
CARD8,22900,ENSG00000105483,609051,gene
CARD9,64170,ENSG00000187796,607212,gene
CARF,79800,ENSG00000138380,607586,gene
CARHSP1,23589,ENSG00000153048,616885,gene
CARM1,10498,ENSG00000142453,603934,gene
CARMIL1,55604,ENSG00000079691,609593,gene
CARMIL2,146206,ENSG00000159753,610859,gene
CARMIL3,90668,ENSG00000186648,614716,gene
CARNMT1,138199,ENSG00000156017,616552,gene
CARNS1,57571,ENSG00000172508,613368,gene
CARS1,833,ENSG00000110619,123859,gene
CARS2,79587,ENSG00000134905,612800,gene
CARTPT,9607,ENSG00000164326,602606,gene
CASC1,55259,ENSG00000118307,616906,gene
CASC11,100270680,ENSG00000249375,617704,gene
CASC15,401237,NA,616610,gene
CASC19,103021165,NA,617703,gene
CASC2,255082,ENSG00000177640,608598,gene
CASC21,103021164,NA,617702,gene
CASC3,22794,ENSG00000108349,606504,gene
CASC8,727677,ENSG00000246228,617701,gene
CASD1,64921,ENSG00000127995,611686,gene
CASK,8573,ENSG00000147044,300172,gene
CASKIN1,57524,ENSG00000167971,612184,gene
CASKIN2,57513,ENSG00000177303,612185,gene
CASP1,834,ENSG00000137752,147678,gene
CASP10,843,ENSG00000003400,601762,gene
CASP12,100506742,ENSG00000204403,608633,gene
CASP14,23581,ENSG00000105141,605848,gene
CASP2,835,ENSG00000106144,600639,gene
CASP3,836,ENSG00000164305,600636,gene
CASP4,837,ENSG00000196954,602664,gene
CASP5,838,ENSG00000137757,602665,gene
CASP6,839,ENSG00000138794,601532,gene
CASP7,840,ENSG00000165806,601761,gene
CASP8,841,ENSG00000064012,601763,gene
CASP8AP2,9994,ENSG00000118412,606880,gene
CASP9,842,ENSG00000132906,602234,gene
CASQ1,844,ENSG00000143318,114250,gene
CASQ2,845,ENSG00000118729,114251,gene
CASR,846,ENSG00000036828,601199,gene
CAST,831,ENSG00000153113,114090,gene
CASTOR1,652968,ENSG00000239282,617034,gene
CASTOR2,729438,ENSG00000274070,617033,gene
CASZ1,54897,ENSG00000130940,609895,gene
CAT,847,ENSG00000121691,115500,gene
CATR1,856,NA,600676,gene
CATSPER1,117144,ENSG00000175294,606389,gene
CATSPER2,117155,ENSG00000166762,607249,gene
CATSPER3,347732,ENSG00000152705,609120,gene
CATSPER4,378807,ENSG00000188782,609121,gene
CATSPERB,79820,ENSG00000133962,611169,gene
CATSPERD,257062,ENSG00000174898,617490,gene
CATSPERE,257044,ENSG00000179397,617510,gene
CATSPERG,57828,ENSG00000099338,613452,gene
CATSPERZ,25858,ENSG00000219435,617511,gene
CAV1,857,ENSG00000105974,601047,gene
CAV2,858,ENSG00000105971,601048,gene
CAV3,859,ENSG00000182533,601253,gene
CAVIN1,284119,ENSG00000177469,603198,gene
CAVIN2,8436,ENSG00000168497,606728,gene
CAVIN3,112464,ENSG00000170955,618303,gene
CAVIN4,347273,ENSG00000170681,617714,gene
CBFA2T2,9139,ENSG00000078699,603672,gene
CBFA2T3,863,ENSG00000129993,603870,gene
CBFB,865,ENSG00000067955,121360,gene
CBL,867,ENSG00000110395,165360,gene
CBLB,868,ENSG00000114423,604491,gene
CBLC,23624,ENSG00000142273,608453,gene
CBLIF,2694,ENSG00000134812,609342,gene
CBLL1,79872,ENSG00000105879,606872,gene
CBLN1,869,ENSG00000102924,600432,gene
CBLN2,147381,ENSG00000141668,600433,gene
CBLN3,643866,ENSG00000139899,612978,gene
CBLN4,140689,ENSG00000054803,615029,gene
CBR1,873,ENSG00000159228,114830,gene
CBR3,874,ENSG00000159231,603608,gene
CBS,875,ENSG00000160200,613381,gene
CBWD1,55871,ENSG00000172785,611078,gene
CBWD2,150472,ENSG00000136682,611079,gene
CBWD3,445571,ENSG00000196873,611080,gene
CBX1,10951,ENSG00000108468,604511,gene
CBX2,84733,ENSG00000173894,602770,gene
CBX3,11335,ENSG00000122565,604477,gene
CBX4,8535,ENSG00000141582,603079,gene
CBX5,23468,ENSG00000094916,604478,gene
CBX6,23466,ENSG00000183741,617438,gene
